0,1,2,3,4,5,6,7
3.1130899999999997,anon,1,KNN,10000r,10f,0,.csv
3.0795209999999997,anon,1,KNN,10000r,10f,1,.csv
2.948234,anon,1,KNN,10000r,10f,2,.csv
7.318035,anon,1,KNN,10000r,15f,0,.csv
7.673137,anon,1,KNN,10000r,15f,1,.csv
7.70756,anon,1,KNN,10000r,15f,2,.csv
3.8337909999999997,anon,1,KNN,10000r,20f,0,.csv
4.041189,anon,1,KNN,10000r,20f,1,.csv
3.8036399999999997,anon,1,KNN,10000r,20f,2,.csv
0.257629,anon,1,KNN,1000r,10f,0,.csv
0.254088,anon,1,KNN,1000r,10f,1,.csv
0.295776,anon,1,KNN,1000r,10f,2,.csv
0.495787,anon,1,KNN,1000r,15f,0,.csv
0.522277,anon,1,KNN,1000r,15f,1,.csv
0.527952,anon,1,KNN,1000r,15f,2,.csv
0.706174,anon,1,KNN,1000r,20f,0,.csv
0.671507,anon,1,KNN,1000r,20f,1,.csv
0.663329,anon,1,KNN,1000r,20f,2,.csv
1.458187,anon,1,KNN,5000r,10f,0,.csv
1.4073449999999998,anon,1,KNN,5000r,10f,1,.csv
1.563717,anon,1,KNN,5000r,10f,2,.csv
2.3221369999999997,anon,1,KNN,5000r,15f,0,.csv
2.2416929999999997,anon,1,KNN,5000r,15f,1,.csv
2.229181,anon,1,KNN,5000r,15f,2,.csv
2.2194149999999997,anon,1,KNN,5000r,20f,0,.csv
2.209283,anon,1,KNN,5000r,20f,1,.csv
2.211847,anon,1,KNN,5000r,20f,2,.csv
78.210493,anon,1,Logistic,10000r,10f,0,.csv
75.206289,anon,1,Logistic,10000r,10f,1,.csv
77.445602,anon,1,Logistic,10000r,10f,2,.csv
103.77988599999999,anon,1,Logistic,10000r,15f,0,.csv
108.317899,anon,1,Logistic,10000r,15f,1,.csv
116.39954399999999,anon,1,Logistic,10000r,15f,2,.csv
103.42948299999999,anon,1,Logistic,10000r,20f,0,.csv
95.76763799999999,anon,1,Logistic,10000r,20f,1,.csv
106.64572299999999,anon,1,Logistic,10000r,20f,2,.csv
1.965388,anon,1,Logistic,1000r,10f,0,.csv
2.04986,anon,1,Logistic,1000r,10f,1,.csv
1.9951729999999999,anon,1,Logistic,1000r,10f,2,.csv
3.2834999999999996,anon,1,Logistic,1000r,15f,0,.csv
3.157403,anon,1,Logistic,1000r,15f,1,.csv
3.121756,anon,1,Logistic,1000r,15f,2,.csv
14.199121,anon,1,Logistic,1000r,20f,0,.csv
14.212487999999999,anon,1,Logistic,1000r,20f,1,.csv
12.604949,anon,1,Logistic,1000r,20f,2,.csv
25.592585,anon,1,Logistic,5000r,10f,0,.csv
25.585932999999997,anon,1,Logistic,5000r,10f,1,.csv
25.901301,anon,1,Logistic,5000r,10f,2,.csv
42.377883,anon,1,Logistic,5000r,15f,0,.csv
36.360686,anon,1,Logistic,5000r,15f,1,.csv
65.256912,anon,1,Logistic,5000r,15f,2,.csv
30.568890999999997,anon,1,Logistic,5000r,20f,0,.csv
26.996817999999998,anon,1,Logistic,5000r,20f,1,.csv
27.034537999999998,anon,1,Logistic,5000r,20f,2,.csv
1493.406943,anon,1,RF,10000r,10f,0,.csv
1469.934347,anon,1,RF,10000r,10f,1,.csv
1465.014621,anon,1,RF,10000r,10f,2,.csv
2116.90083,anon,1,RF,10000r,15f,0,.csv
2084.09525,anon,1,RF,10000r,15f,1,.csv
2011.870399,anon,1,RF,10000r,15f,2,.csv
1698.986007,anon,1,RF,10000r,20f,0,.csv
1667.182988,anon,1,RF,10000r,20f,1,.csv
1670.9836369999998,anon,1,RF,10000r,20f,2,.csv
427.354497,anon,1,RF,1000r,10f,0,.csv
431.929741,anon,1,RF,1000r,10f,1,.csv
430.669003,anon,1,RF,1000r,10f,2,.csv
463.563083,anon,1,RF,1000r,15f,0,.csv
456.523124,anon,1,RF,1000r,15f,1,.csv
457.177357,anon,1,RF,1000r,15f,2,.csv
